"matrix.nrow...21.","lambdas","r 1","p 1","f 1","r 2","p 2","f 2","r 3","p 3","f 3","r 5","p 5","f 5","r 6","p 6","f 6","r 7","p 7","f 7"
NA,0,1,1,1,0.787234042553192,0.255172413793103,0.385416666666667,1,1,1,NA,NA,NA,0.958333333333333,0.2875,0.442307692307692,1,0.988888888888889,0.994413407821229
NA,1,1,1,1,0.868421052631579,0.379310344827586,0.528,1,1,1,NA,NA,NA,0.987179487179487,0.574626865671642,0.726415094339623,1,0.992063492063492,0.99601593625498
NA,2,1,1,1,0.914529914529915,0.497674418604651,0.644578313253012,1,1,1,NA,NA,NA,0.995535714285714,0.796428571428571,0.884920634920635,1,0.993464052287582,0.99672131147541
NA,3,1,1,1,0.932885906040268,0.562753036437247,0.702020202020202,1,1,1,NA,NA,NA,0.996402877697842,0.82934131736527,0.905228758169935,1,0.994100294985251,0.997041420118343
NA,4,1,1,1,0.940119760479042,0.592452830188679,0.726851851851852,1,1,1,NA,NA,NA,0.996688741721854,0.840782122905028,0.912121212121212,1,0.994397759103641,0.997191011235955
NA,5,1,1,1,0.94413407821229,0.610108303249097,0.741228070175439,1,1,1,NA,NA,NA,0.996784565916399,0.844686648501362,0.914454277286136,1,0.994579945799458,0.997282608695652
NA,6,1,1,1,0.947643979057592,0.626297577854671,0.754166666666667,1,1,1,NA,NA,NA,0.996835443037975,0.846774193548387,0.915697674418605,1,0.994750656167979,0.997368421052632
NA,7,1,1,1,0.948979591836735,0.63265306122449,0.759183673469388,1,1,1,NA,NA,NA,0.996875,0.848404255319149,0.916666666666667,1,0.994871794871795,0.997429305912596
NA,8,1,1,1,0.94949494949495,0.635135135135135,0.761133603238866,1,1,1,NA,NA,NA,0.996923076923077,0.850393700787402,0.917847025495751,1,0.994884910485934,0.997435897435897
NA,9,1,1,1,0.950248756218905,0.638795986622074,0.764,1,1,1,NA,NA,NA,0.996987951807229,0.853092783505155,0.919444444444444,1,0.99492385786802,0.997455470737914
NA,10,1,1,1,0.950980392156863,0.642384105960265,0.766798418972332,1,1,1,NA,NA,NA,0.997005988023952,0.853846153846154,0.919889502762431,1,0.994949494949495,0.99746835443038
NA,11,1,1,1,0.950980392156863,0.642384105960265,0.766798418972332,1,1,1,NA,NA,NA,0.997032640949555,0.854961832061069,0.92054794520548,1,0.994962216624685,0.997474747474748
NA,12,1,1,1,0.950980392156863,0.642384105960265,0.766798418972332,1,1,1,NA,NA,NA,0.997041420118343,0.855329949238579,0.920765027322404,1,0.994974874371859,0.997481108312342
NA,13,1,1,1,0.950980392156863,0.642384105960265,0.766798418972332,1,1,1,NA,NA,NA,0.997050147492625,0.855696202531646,0.920980926430518,1,0.994974874371859,0.997481108312342
NA,14,1,1,1,0.950980392156863,0.642384105960265,0.766798418972332,1,1,1,NA,NA,NA,0.997058823529412,0.856060606060606,0.921195652173913,1,0.994974874371859,0.997481108312342
NA,15,1,1,1,0.950980392156863,0.642384105960265,0.766798418972332,1,1,1,NA,NA,NA,0.997076023391813,0.85678391959799,0.921621621621622,1,0.994974874371859,0.997481108312342
NA,16,1,1,1,0.950980392156863,0.642384105960265,0.766798418972332,1,1,1,NA,NA,NA,0.997041420118343,0.855329949238579,0.920765027322404,1,0.994974874371859,0.997481108312342
NA,17,1,1,1,0.95049504950495,0.64,0.764940239043825,1,1,1,NA,NA,NA,0.997032640949555,0.854961832061069,0.92054794520548,1,0.994974874371859,0.997481108312342
NA,18,1,1,1,0.950248756218905,0.638795986622074,0.764,1,1,1,NA,NA,NA,0.997014925373134,0.854219948849105,0.920110192837466,1,0.994987468671679,0.99748743718593
NA,19,1,1,1,0.95,0.63758389261745,0.763052208835341,1,1,1,NA,NA,NA,0.996996996996997,0.853470437017995,0.919667590027701,1,0.995,0.99749373433584
NA,20,1,1,1,0.95,0.63758389261745,0.763052208835341,1,1,1,NA,NA,NA,0.996987951807229,0.853092783505155,0.919444444444444,1,0.99501246882793,0.9975
