"matrix.nrow...21.","lambdas","r 1","p 1","f 1","r 2","p 2","f 2","r 3","p 3","f 3","r 5","p 5","f 5","r 6","p 6","f 6","r 7","p 7","f 7"
NA,0,1,0.516795865633075,0.681431005110733,1,0.515463917525773,0.680272108843537,1,0.515463917525773,0.680272108843537,NA,0,NA,1,0.5,0.666666666666667,1,0.510204081632653,0.675675675675676
NA,1,1,0.581395348837209,0.735294117647059,1,0.564971751412429,0.722021660649819,1,0.564971751412429,0.722021660649819,NA,0,NA,1,0.520833333333333,0.684931506849315,1,0.595238095238095,0.746268656716418
NA,2,1,0.673400673400673,0.804828973843058,1,0.641025641025641,0.78125,1,0.641025641025641,0.78125,NA,0,NA,1,0.630914826498423,0.773694390715667,1,0.677966101694915,0.808080808080808
NA,3,1,0.746268656716418,0.854700854700855,1,0.735294117647059,0.847457627118644,1,0.716845878136201,0.835073068893528,NA,0,NA,1,0.701754385964912,0.824742268041237,1,0.746268656716418,0.854700854700855
NA,4,1,0.829875518672199,0.90702947845805,1,0.8,0.888888888888889,1,0.772200772200772,0.871459694989107,NA,0,NA,1,0.72992700729927,0.843881856540084,1,0.8,0.888888888888889
NA,5,1,0.904977375565611,0.950118764845606,1,0.854700854700855,0.921658986175115,1,0.8,0.888888888888889,NA,0,NA,1,0.75187969924812,0.858369098712446,1,0.854700854700855,0.921658986175115
NA,6,1,0.930232558139535,0.963855421686747,1,0.900900900900901,0.947867298578199,1,0.881057268722467,0.936768149882904,NA,0,NA,1,0.754716981132076,0.860215053763441,1,0.896860986547085,0.945626477541371
NA,7,1,0.952380952380952,0.975609756097561,1,0.925925925925926,0.961538461538461,1,0.91324200913242,0.954653937947494,NA,0,NA,1,0.763358778625954,0.865800865800866,1,0.938967136150235,0.968523002421308
NA,8,1,0.961538461538462,0.980392156862745,0.99,0.947368421052632,0.968215158924205,1,0.952380952380952,0.975609756097561,NA,NA,NA,1,0.78125,0.87719298245614,1,0.943396226415094,0.970873786407767
NA,9,1,0.966183574879227,0.982800982800983,0.99,0.965853658536585,0.977777777777778,1,0.966183574879227,0.982800982800983,NA,NA,NA,1,0.816326530612245,0.898876404494382,1,0.956937799043062,0.97799511002445
NA,10,1,0.970873786407767,0.985221674876847,0.99,0.975369458128079,0.982630272952854,1,0.980392156862745,0.99009900990099,NA,NA,NA,1,0.826446280991736,0.904977375565611,1,0.966183574879227,0.982800982800983
NA,11,1,0.980392156862745,0.99009900990099,0.99,0.975369458128079,0.982630272952854,1,0.99009900990099,0.995024875621891,NA,NA,NA,1,0.840336134453782,0.91324200913242,1,0.975609756097561,0.987654320987654
NA,12,1,0.995024875621891,0.997506234413965,0.99,0.975369458128079,0.982630272952854,1,0.99009900990099,0.995024875621891,NA,NA,NA,1,0.843881856540084,0.91533180778032,1,0.980392156862745,0.99009900990099
NA,13,1,0.995024875621891,0.997506234413965,0.99,0.975369458128079,0.982630272952854,1,0.99009900990099,0.995024875621891,NA,NA,NA,1,0.854700854700855,0.921658986175115,1,0.980392156862745,0.99009900990099
NA,14,1,1,1,0.99,0.975369458128079,0.982630272952854,1,0.99009900990099,0.995024875621891,NA,NA,NA,1,0.862068965517241,0.925925925925926,1,0.980392156862745,0.99009900990099
NA,15,1,1,1,0.99,0.975369458128079,0.982630272952854,1,0.995024875621891,0.997506234413965,NA,NA,NA,1,0.87719298245614,0.934579439252336,1,0.980392156862745,0.99009900990099
NA,16,1,1,1,0.99,0.975369458128079,0.982630272952854,1,0.995024875621891,0.997506234413965,NA,NA,NA,1,0.904977375565611,0.950118764845606,1,0.980392156862745,0.99009900990099
NA,17,1,1,1,0.98,0.975124378109453,0.977556109725686,1,0.995024875621891,0.997506234413965,NA,NA,NA,1,0.909090909090909,0.952380952380952,1,0.980392156862745,0.99009900990099
NA,18,1,1,1,0.97,0.97979797979798,0.974874371859296,1,0.995024875621891,0.997506234413965,NA,NA,NA,1,0.909090909090909,0.952380952380952,1,0.985221674876847,0.992555831265509
NA,19,1,1,1,0.96,0.989690721649485,0.974619289340101,1,1,1,NA,NA,NA,1,0.925925925925926,0.961538461538461,1,0.99009900990099,0.995024875621891
NA,20,1,1,1,0.96,0.989690721649485,0.974619289340101,1,1,1,NA,NA,NA,1,0.930232558139535,0.963855421686747,1,0.995024875621891,0.997506234413965
