,beta,em_recall,em_precision,em_f1,dr_recall,dr_precision,dr_f1
0,0.05,0.8,0.510204082,0.623052959775468,0.2,0.188679245,0.19417475713168064
1,0.1,0.82,0.543478261,0.6536989796861894,0.245402299,0.27845304,0.26088506155146374
2,0.15,0.90483281,0.625,0.7393232810191854,0.457489879,0.42481203,0.44054580913854596
3,0.2,0.93284938,0.689655172,0.7930263108611523,0.6,0.548172757,0.5729166664071964
4,0.25,0.966183575,0.787401575,0.8676789589534681,0.671468927,0.589812332,0.6279973651767513
5,0.3,0.980392157,0.900900901,0.9389671362670106,0.721518987,0.67695962,0.6985294116298268
6,0.35,0.980392157,0.940900901,0.9602406671003894,0.835227273,0.740554156,0.7850467289961907
7,0.4,0.99009901,0.965221675,0.9775020866697799,0.89537092,0.814917127,0.853251706933957
8,0.45,0.985221675,0.970873786,0.9779951098782409,0.96,0.87804878,0.9171974519631628
9,0.5,0.99009901,0.980173786,0.9851113989055471,0.98039604,0.900928793,0.9389840664258958
10,0.55,1.0,0.98039216,0.9900990115008331,1.0,0.96099291,0.9801085002392997
11,0.6,1.0,0.99502488,0.9975062366139514,1.0,0.97841727,0.9890909110392067
12,0.65,1.0,1.0,1.0,1.0,0.99601594,0.9980039938959606
13,0.7,1.0,1.0,1.0,1.0,1.0,1.0
14,0.75,1.0,0.99502488,0.9975062366139514,1.0,0.98837209,0.9941520452542664
15,0.8,1.0,1.0,1.0,1.0,1.0,1.0
16,0.85,1.0,1.0,1.0,1.0,1.0,1.0
17,0.9,1.0,1.0,1.0,1.0,1.0,1.0
18,0.95,1.0,0.99522167,0.9976051132203271,1.0,0.97769517,0.9887218058989343
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.5,1.0,1.0,1.0,1.0,1.0,1.0
21,2.0,1.0,0.99009901,0.9950248756718894,1.0,0.9844358,0.9921568639307958
22,2.5,1.0,0.99502488,0.9975062366139514,1.0,0.99253731,0.996254679918641
23,3.0,1.0,1.0,1.0,1.0,1.0,1.0
24,3.5,1.0,0.99502488,0.9975062366139514,1.0,0.99300699,0.9964912265561096
25,4.0,1.0,1.0,1.0,1.0,1.0,1.0
26,4.5,1.0,1.0,1.0,1.0,1.0,1.0
27,5.0,1.0,1.0,1.0,1.0,1.0,1.0
