"beta","lambda","percent.correct.tree.sequence","percent.correct.tree.selected","selected.tree.size","bias","mse","variance","lambda_recall","lambda_precision","lambda_f1"
1,0,1,0,15,-0.622547215776857,27.3208419726554,24.7823166968928,1,0.5,0.666666666666667
1,0.25,1,0,14.36,-0.622654790151168,28.2512884047824,25.7135783040828,1,0.5,0.666666666666667
1,0.5,1,0,13.74,-0.624868230845924,29.8118397632732,27.2756720238049,1,0.50251256281407,0.668896321070234
1,0.75,1,0,12.96,-0.622523252359944,29.4472503063823,26.9154173264854,1,0.505050505050505,0.671140939597315
1,1,1,0.02,12.04,-0.625004375810698,30.1267477191615,27.5928334375352,1,0.515463917525773,0.680272108843537
1,1.25,1,0.1,9.78,-0.624509997484368,30.1569879194541,27.5643551086015,1,0.53475935828877,0.696864111498258
1,1.5,1,0.14,9.22,-0.625697085340852,29.6010027867817,27.0092031085554,1,0.546448087431694,0.706713780918728
1,1.75,1,0.28,7.36,-0.628835292729197,24.1660613075022,21.5811475887768,1,0.598802395209581,0.749063670411985
1,2,1,0.34,6.94,-0.627303535173255,23.676810372776,21.0801236271245,1,0.625,0.769230769230769
1,2.25,1,0.46,5.9,-0.635465734975724,19.1579943703934,16.5423842049806,1,0.675675675675676,0.806451612903226
1,2.5,1,0.52,5.32,-0.636728952926747,16.9467529738273,14.3308783052034,1,0.704225352112676,0.826446280991735
1,2.75,1,0.6,4.7,-0.638079415844738,12.7288952368464,10.1104370753807,1,0.740740740740741,0.851063829787234
1,3,1,0.66,4.24,-0.640053679555369,12.0534285917444,9.42986821136847,1,0.775193798449612,0.873362445414847
1,3.25,1,0.68,4.08,-0.638268544995915,12.0533090260562,9.42856675286483,1,0.78740157480315,0.881057268722467
1,3.5,1,0.7,4.04,-0.638136020498731,11.8184718589623,9.19296522720805,1,0.793650793650794,0.884955752212389
1,3.75,1,0.74,3.84,-0.641848695446867,9.53618468285181,6.9144516453656,1,0.819672131147541,0.900900900900901
1,4,1,0.78,3.52,-0.639245676316873,9.19142940353179,6.56833059389151,1,0.847457627118644,0.91743119266055
1,4.25,1,0.82,3.34,-0.640398959981074,8.41216745085258,5.78907438265744,1,0.87719298245614,0.934579439252336
1,4.5,1,0.84,3.3,-0.639846525304973,7.64465753571762,5.02156383803029,1,0.892857142857143,0.943396226415094
1,4.75,1,0.84,3.3,-0.639846525304973,7.64465753571762,5.02156383803029,1,0.892857142857143,0.943396226415094
1,5,1,0.86,3.26,-0.641141920431314,7.06057173567757,4.43759951395782,1,0.909090909090909,0.952380952380952
1,5.25,1,0.86,3.26,-0.641141920431314,7.06057173567757,4.43759951395782,1,0.909090909090909,0.952380952380952
1,5.5,1,0.88,3.24,-0.642145460364329,6.9525421903982,4.32750980240667,1,0.91743119266055,0.956937799043062
1,5.75,1,0.88,3.24,-0.642145460364329,6.9525421903982,4.32750980240667,1,0.91743119266055,0.956937799043062
1,6,1,0.9,3.2,-0.642433753109113,6.84366860934677,4.21810219812412,1,0.934579439252336,0.966183574879227
1,6.25,1,0.9,3.2,-0.642433753109113,6.84366860934677,4.21810219812412,1,0.934579439252336,0.966183574879227
1,6.5,1,0.9,3.2,-0.642433753109113,6.84366860934677,4.21810219812412,1,0.934579439252336,0.966183574879227
1,6.75,1,0.92,3.18,-0.642400338288706,6.80856042872188,4.18315246649512,1,0.943396226415094,0.970873786407767
1,7,1,0.92,3.18,-0.642400338288706,6.80856042872188,4.18315246649512,1,0.943396226415094,0.970873786407767
1,8,1,0.96,3.08,-0.642964609973517,6.71346905755715,4.0862273361976,1,0.980392156862745,0.99009900990099
1,9,1,0.98,3.02,-0.642137004802028,6.45190993974481,3.82997523635725,1,0.99009900990099,0.995024875621891
1,10,1,0.98,3.02,-0.642137004802028,6.45190993974481,3.82997523635725,1,0.99009900990099,0.995024875621891
1,11,1,0.98,3.02,-0.642137004802028,6.45190993974481,3.82997523635725,1,0.99009900990099,0.995024875621891
1,12,1,0.98,3.02,-0.642137004802028,6.45190993974481,3.82997523635725,1,0.99009900990099,0.995024875621891
1,13,1,0.98,3.02,-0.642137004802028,6.45190993974481,3.82997523635725,1,0.99009900990099,0.995024875621891
1,14,1,0.98,3.02,-0.642137004802028,6.45190993974481,3.82997523635725,1,0.99009900990099,0.995024875621891
1,15,1,0.98,3.02,-0.642137004802028,6.45190993974481,3.82997523635725,1,0.99009900990099,0.995024875621891
1,16,1,1,3,-0.642060112800501,6.18501856466736,3.56351183824217,1,1,1
1,17,1,1,3,-0.642060112800501,6.18501856466736,3.56351183824217,1,1,1
1,18,1,1,3,-0.642060112800501,6.18501856466736,3.56351183824217,1,1,1
1,19,1,1,3,-0.642060112800501,6.18501856466736,3.56351183824217,1,1,1
1,20,1,1,3,-0.642060112800501,6.18501856466736,3.56351183824217,1,1,1
