"setting","lambda","selected.tree.size","bias","mse","variance"
1,0,7.37,-0.402865322415072,14.5010868873247,12.5200672625824
1,1,5.77,-0.401391328469862,21.5064108917013,19.5216712963641
1,2,4.7,-0.398703860671912,23.8833515127768,21.8911255445503
1,3,4.07,-0.398841414868551,24.1020252053674,22.1163206255402
1,4,3.61,-0.398582679043632,23.2917294977337,21.3050281955808
1,5,3.28,-0.401691304081215,22.3081224344703,20.321922972981
1,6,3.18,-0.401755614070895,21.9157377665646,19.9274300181894
1,7,3.11,-0.401859160542106,21.4079308662973,19.4199926173564
1,8,3.09,-0.401682352460533,21.6806449451101,19.694011879489
1,9,3.08,-0.401592806511052,21.6733310341877,19.6874357392812
1,10,3.06,-0.401294755485024,21.4356345834703,19.4499534214213
1,11,3.04,-0.401814929426962,21.3906710514038,19.4038600428821
1,12,3.01,-0.401906241461724,21.612924263044,19.6258174559037
1,13,3.01,-0.401906241461724,21.612924263044,19.6258174559037
1,14,3,-0.402183909329668,21.4441393821561,19.4589287505976
1,15,3,-0.402183909329668,21.4441393821561,19.4589287505976
1,16,3,-0.402183909329668,21.4441393821561,19.4589287505976
1,17,3,-0.402183909329668,21.4441393821561,19.4589287505976
1,18,3,-0.402183909329668,21.4441393821561,19.4589287505976
1,19,3,-0.402183909329668,21.4441393821561,19.4589287505976
1,20,3,-0.402183909329668,21.4441393821561,19.4589287505976
2,0,6.03,-0.325232915400282,13.6524905433757,12.1855247092977
2,1,5.07,-0.327781368655727,14.328156367985,12.8584844384042
2,2,3.94,-0.328134177706197,12.5521269787217,11.0869954109873
2,3,3.21,-0.329076138155304,11.3772689164456,9.91467049198343
2,4,2.84,-0.328774550308808,10.3318387367484,8.87173754708141
2,5,2.55,-0.3289582900701,9.70055508027539,8.25125026568324
2,6,2.3,-0.32981555713716,8.94297691014705,7.48939092222328
2,7,2.22,-0.329725070283428,8.58114712080992,7.12730913157025
2,8,2.15,-0.330865815250803,8.247014957041,6.79545871630346
2,9,2.07,-0.331671683079266,8.16424888472213,6.71223325744607
